리뷰 내용,추천 여부,리뷰 날짜,플레이 시간(분)
"전투가 너무 느림
",비추천,1730996284,86
소울류 게임 입문 45시간만에 아.. 이맛을 추천했던 거였구나. 대존맛,추천,1730904978,2956
걍 해. ㅈㄴ 재밌음,추천,1730902163,933
다크소울3 에서는 느낄수 없던 오픈월드의 맛,추천,1730889897,4280
재밌다!,추천,1730881517,4660
인생게임,추천,1730822018,21671
"재미있다, 재미있는데....

난 다크소울3가 더 좋다.",추천,1730813605,23923
굿,추천,1730812462,22411
"이건 게임이 아니다...... ""삶""이다.",추천,1730806935,19833
인생게임이 될수있습니다. 소울류를 싫어 하는 사람도 이게임은 괜찮을 거같습니다.,추천,1730805864,32402
"꿀잼 게임, 하지만 최적화 문제가 있음",추천,1730778071,14344
"아이템 수집하는 재미로 RPG 하는 사람입니다.
공략보고도 맛보고 머리박기로도 맛보고 둘다 재밌어요.",추천,1730733499,4980
"이 너머 엘든링 있다.
",추천,1730725130,3814
재미는 있음,추천,1730723607,1463
"엘든링을 해보면서 느낌 나는 소울류를 좋아하는 게 아니라
세키로를 좋아하는 거였구나 게임 자체는 잘 만든 듯",추천,1730689988,487
다크소울3의 정신적 후속작,추천,1730636596,1699
"진짜 재미있네요 지금 78시간인데 아직 엔딩을 보지못했지만 금방 볼것같고 겜이 전시리지보다 편해지고 무기가 다양해져서 좋습니다 
",추천,1730635909,5130
개씹창난 ㅈㅁ겜. 다크 소울 3가 더 낫다.,비추천,1730627335,1093
최고,추천,1730616781,11863
어렵고 ㅈ같은데 왜 재밌지,추천,1730562155,8263
본편은 꿀잼 DLC는 미켈라단 빼곤 재밌음,추천,1730560388,4019
갓겜 그자체,추천,1730554277,3231
"그냥하셈
",추천,1730547709,8218
"오픈월드라는 이름에 걸맞게 항상 갈곳이 있는건 좋았지만, 전작에 비해 너무 많아진 비합리적인 패턴들, 고잘적인 시점 문제, 상시 강인도 삭제로 인한 pvp의 한방 싸움, DLC지역 난이도 조절 실패 등등... 하필 전작들이 닼3 - 블러드본 - 세키로라 더욱 잘 보이는 문제점들. 그래도 자신만의 무기 조합이나 컨셉으로 플레이하는 것이 재밌었음. 다음 DLC나 신작에서 문제가 해결되면 좋겠음.",추천,1730538057,18620
